31.2918 	EXP 	fixation: autoDraw = False
31.2918 	EXP 	dots: coherence = 0.19905358527674866
31.2918 	EXP 	dots: dir = -90.0
31.2918 	EXP 	fixation: autoDraw = True
31.8109 	EXP 	dots: autoDraw = True
32.6922 	DATA 	Keypress: down
32.7122 	EXP 	dots: autoDraw = False
32.7122 	EXP 	fixation: autoDraw = False
32.7122 	EXP 	dots: coherence = 0.19905358527674866
32.7122 	EXP 	dots: dir = 90.0
32.7122 	EXP 	fixation: autoDraw = True
33.2304 	EXP 	dots: autoDraw = True
33.9508 	DATA 	Keypress: up
33.9657 	EXP 	dots: autoDraw = False
33.9657 	EXP 	fixation: autoDraw = False
33.9657 	EXP 	dots: coherence = 0.19905358527674866
33.9657 	EXP 	dots: dir = 90.0
33.9657 	EXP 	fixation: autoDraw = True
34.4850 	EXP 	dots: autoDraw = True
35.2459 	DATA 	Keypress: up
35.2693 	EXP 	dots: autoDraw = False
35.2693 	EXP 	fixation: autoDraw = False
35.2693 	EXP 	dots: coherence = 0.12559432157547901
35.2693 	EXP 	dots: dir = -90.0
35.2693 	EXP 	fixation: autoDraw = True
35.7709 	EXP 	dots: autoDraw = True
36.7355 	DATA 	Keypress: up
36.7556 	EXP 	dots: autoDraw = False
36.7556 	EXP 	dots: autoDraw = False
36.7556 	EXP 	fixation: autoDraw = False
36.7556 	EXP 	dots: coherence = 0.15811388300841897
36.7556 	EXP 	dots: dir = 90.0
36.7556 	EXP 	fixation: autoDraw = True
37.2745 	EXP 	dots: autoDraw = True
38.0226 	DATA 	Keypress: up
38.0427 	EXP 	dots: autoDraw = False
38.0427 	EXP 	fixation: autoDraw = False
38.0427 	EXP 	dots: coherence = 0.15811388300841897
38.0427 	EXP 	dots: dir = 90.0
38.0427 	EXP 	fixation: autoDraw = True
38.5615 	EXP 	dots: autoDraw = True
39.4047 	DATA 	Keypress: up
39.4304 	EXP 	dots: autoDraw = False
39.4304 	EXP 	fixation: autoDraw = False
39.4304 	EXP 	dots: coherence = 0.15811388300841897
39.4304 	EXP 	dots: dir = 90.0
39.4304 	EXP 	fixation: autoDraw = True
39.9330 	EXP 	dots: autoDraw = True
40.7144 	DATA 	Keypress: up
40.7340 	EXP 	dots: autoDraw = False
40.7340 	EXP 	fixation: autoDraw = False
40.7340 	EXP 	dots: coherence = 0.12559432157547901
40.7340 	EXP 	dots: dir = 90.0
40.7340 	EXP 	fixation: autoDraw = True
41.2529 	EXP 	dots: autoDraw = True
42.0901 	DATA 	Keypress: up
42.1044 	EXP 	dots: autoDraw = False
42.1044 	EXP 	fixation: autoDraw = False
42.1044 	EXP 	dots: coherence = 0.12559432157547901
42.1044 	EXP 	dots: dir = -90.0
42.1044 	EXP 	fixation: autoDraw = True
42.6238 	EXP 	dots: autoDraw = True
43.6084 	EXP 	dots: autoDraw = False
43.7610 	DATA 	Keypress: down
43.7749 	EXP 	dots: autoDraw = False
43.7749 	EXP 	fixation: autoDraw = False
43.7749 	EXP 	dots: coherence = 0.12559432157547901
43.7749 	EXP 	dots: dir = 90.0
43.7749 	EXP 	fixation: autoDraw = True
44.2945 	EXP 	dots: autoDraw = True
45.1906 	DATA 	Keypress: up
45.2126 	EXP 	dots: autoDraw = False
45.2126 	EXP 	fixation: autoDraw = False
45.2126 	EXP 	dots: coherence = 0.099763115748443973
45.2126 	EXP 	dots: dir = -90.0
45.2126 	EXP 	fixation: autoDraw = True
45.7150 	EXP 	dots: autoDraw = True
46.6008 	DATA 	Keypress: down
46.6165 	EXP 	dots: autoDraw = False
46.6165 	EXP 	fixation: autoDraw = False
46.6165 	EXP 	dots: coherence = 0.099763115748443973
46.6165 	EXP 	dots: dir = -90.0
46.6165 	EXP 	fixation: autoDraw = True
47.1188 	EXP 	dots: autoDraw = True
47.9169 	DATA 	Keypress: down
47.9367 	EXP 	dots: autoDraw = False
47.9367 	EXP 	fixation: autoDraw = False
47.9367 	EXP 	dots: coherence = 0.099763115748443973
47.9367 	EXP 	dots: dir = -90.0
47.9367 	EXP 	fixation: autoDraw = True
48.4560 	EXP 	dots: autoDraw = True
49.3343 	DATA 	Keypress: up
49.3572 	EXP 	dots: autoDraw = False
49.3572 	EXP 	fixation: autoDraw = False
49.3572 	EXP 	dots: coherence = 0.12559432157547901
49.3572 	EXP 	dots: dir = 90.0
49.3572 	EXP 	fixation: autoDraw = True
49.8596 	EXP 	dots: autoDraw = True
50.7385 	DATA 	Keypress: up
50.7610 	EXP 	dots: autoDraw = False
50.7610 	EXP 	fixation: autoDraw = False
50.7610 	EXP 	dots: coherence = 0.12559432157547901
50.7610 	EXP 	dots: dir = -90.0
50.7610 	EXP 	fixation: autoDraw = True
51.2635 	EXP 	dots: autoDraw = True
51.9779 	DATA 	Keypress: down
51.9977 	EXP 	dots: autoDraw = False
51.9977 	EXP 	fixation: autoDraw = False
51.9977 	EXP 	dots: coherence = 0.12559432157547901
51.9977 	EXP 	dots: dir = -90.0
51.9977 	EXP 	fixation: autoDraw = True
52.5165 	EXP 	dots: autoDraw = True
53.3159 	DATA 	Keypress: down
53.3346 	EXP 	dots: autoDraw = False
53.3346 	EXP 	fixation: autoDraw = False
53.3346 	EXP 	dots: coherence = 0.099763115748443973
53.3346 	EXP 	dots: dir = -90.0
53.3346 	EXP 	fixation: autoDraw = True
53.8536 	EXP 	dots: autoDraw = True
54.6651 	DATA 	Keypress: down
54.6883 	EXP 	dots: autoDraw = False
54.6883 	EXP 	fixation: autoDraw = False
54.6883 	EXP 	dots: coherence = 0.099763115748443973
54.6883 	EXP 	dots: dir = 90.0
54.6883 	EXP 	fixation: autoDraw = True
55.1904 	EXP 	dots: autoDraw = True
55.9714 	DATA 	Keypress: up
55.9918 	EXP 	dots: autoDraw = False
55.9918 	EXP 	fixation: autoDraw = False
55.9918 	EXP 	dots: coherence = 0.099763115748443973
55.9918 	EXP 	dots: dir = 90.0
55.9918 	EXP 	fixation: autoDraw = True
56.5110 	EXP 	dots: autoDraw = True
57.1298 	DATA 	Keypress: up
57.1478 	EXP 	dots: autoDraw = False
57.1478 	EXP 	fixation: autoDraw = False
57.1478 	EXP 	dots: coherence = 0.079244659623055658
57.1478 	EXP 	dots: dir = -90.0
57.1478 	EXP 	fixation: autoDraw = True
57.6620 	EXP 	dots: autoDraw = True
58.4136 	DATA 	Keypress: down
58.4316 	EXP 	dots: autoDraw = False
58.4316 	EXP 	fixation: autoDraw = False
58.4316 	EXP 	dots: coherence = 0.079244659623055658
58.4316 	EXP 	dots: dir = 90.0
58.4316 	EXP 	fixation: autoDraw = True
58.9507 	EXP 	dots: autoDraw = True
59.7208 	DATA 	Keypress: up
59.7353 	EXP 	dots: autoDraw = False
59.7353 	EXP 	fixation: autoDraw = False
59.7353 	EXP 	dots: coherence = 0.079244659623055658
59.7353 	EXP 	dots: dir = 90.0
59.7353 	EXP 	fixation: autoDraw = True
60.2544 	EXP 	dots: autoDraw = True
60.9998 	DATA 	Keypress: up
61.0221 	EXP 	dots: autoDraw = False
61.0221 	EXP 	fixation: autoDraw = False
61.0221 	EXP 	dots: coherence = 0.06294627058970835
61.0221 	EXP 	dots: dir = 90.0
61.0221 	EXP 	fixation: autoDraw = True
61.5244 	EXP 	dots: autoDraw = True
62.3230 	DATA 	Keypress: up
62.3421 	EXP 	dots: autoDraw = False
62.3421 	EXP 	fixation: autoDraw = False
62.3421 	EXP 	dots: coherence = 0.06294627058970835
62.3421 	EXP 	dots: dir = -90.0
62.3421 	EXP 	fixation: autoDraw = True
62.8622 	EXP 	dots: autoDraw = True
63.8464 	EXP 	dots: autoDraw = False
64.0153 	DATA 	Keypress: up
64.0302 	EXP 	dots: autoDraw = False
64.0302 	EXP 	fixation: autoDraw = False
64.0302 	EXP 	dots: coherence = 0.079244659623055672
64.0302 	EXP 	dots: dir = -90.0
64.0302 	EXP 	fixation: autoDraw = True
64.5494 	EXP 	dots: autoDraw = True
65.5342 	EXP 	dots: autoDraw = False
65.6696 	DATA 	Keypress: up
65.6847 	EXP 	dots: autoDraw = False
65.6847 	EXP 	fixation: autoDraw = False
65.6847 	EXP 	dots: coherence = 0.099763115748443987
65.6847 	EXP 	dots: dir = 90.0
65.6847 	EXP 	fixation: autoDraw = True
66.2032 	EXP 	dots: autoDraw = True
66.9004 	DATA 	Keypress: up
66.9213 	EXP 	dots: autoDraw = False
66.9213 	EXP 	fixation: autoDraw = False
66.9213 	EXP 	dots: coherence = 0.099763115748443987
66.9213 	EXP 	dots: dir = 90.0
66.9213 	EXP 	fixation: autoDraw = True
67.4403 	EXP 	dots: autoDraw = True
68.2221 	DATA 	Keypress: up
68.2415 	EXP 	dots: autoDraw = False
68.2415 	EXP 	fixation: autoDraw = False
