6.3129 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.5482 	EXP 	cue: autoDraw = False
15.5482 	EXP 	target: autoDraw = False
15.5482 	EXP 	cue: image = 'images/arrow_left.png'
15.5482 	EXP 	target: pos = array([0.5, 0. ])
15.5482 	EXP 	fixation: autoDraw = True
15.6317 	DATA 	Mouse:  Left button up, pos=(682,753)
16.5492 	EXP 	fixation: autoDraw = False
16.5492 	EXP 	cue: autoDraw = True
16.7488 	EXP 	cue: autoDraw = False
16.7488 	EXP 	target: autoDraw = True
17.3498 	DATA 	Mouse: Left button down, pos=(1890,738)
17.3514 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue_file', 'images/arrow_right.png'), ('target_x', 0.5), ('is_valid', 'valid')])
17.3831 	EXP 	fixation: autoDraw = False
17.3831 	EXP 	cue: autoDraw = False
17.3831 	EXP 	target: autoDraw = False
17.3831 	EXP 	cue: image = 'images/arrow_right.png'
17.3831 	EXP 	target: pos = array([0.5, 0. ])
17.3831 	EXP 	fixation: autoDraw = True
17.4501 	DATA 	Mouse:  Left button up, pos=(1904,739)
18.3817 	EXP 	fixation: autoDraw = False
18.3817 	EXP 	cue: autoDraw = True
18.5821 	EXP 	cue: autoDraw = False
18.5821 	EXP 	target: autoDraw = True
19.0995 	DATA 	Mouse: Left button down, pos=(1984,712)
19.1017 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue_file', 'images/arrow_right.png'), ('target_x', 0.5), ('is_valid', 'valid')])
19.1332 	EXP 	fixation: autoDraw = False
19.1332 	EXP 	cue: autoDraw = False
19.1332 	EXP 	target: autoDraw = False
19.1332 	EXP 	cue: image = 'images/arrow_right.png'
19.1332 	EXP 	target: pos = array([0.5, 0. ])
19.1332 	EXP 	fixation: autoDraw = True
19.1832 	DATA 	Mouse:  Left button up, pos=(1981,712)
20.1322 	EXP 	fixation: autoDraw = False
20.1322 	EXP 	cue: autoDraw = True
20.3322 	EXP 	cue: autoDraw = False
20.3322 	EXP 	target: autoDraw = True
20.8995 	DATA 	Mouse: Left button down, pos=(1908,736)
20.9011 	EXP 	New trial (rep=0, index=8): OrderedDict([('cue_file', 'images/arrow_left.png'), ('target_x', -0.5), ('is_valid', 'valid')])
20.9326 	EXP 	fixation: autoDraw = False
20.9326 	EXP 	cue: autoDraw = False
20.9326 	EXP 	target: autoDraw = False
20.9326 	EXP 	cue: image = 'images/arrow_left.png'
20.9326 	EXP 	target: pos = array([-0.5,  0. ])
20.9326 	EXP 	fixation: autoDraw = True
20.9833 	DATA 	Mouse:  Left button up, pos=(1906,734)
21.9342 	EXP 	fixation: autoDraw = False
21.9342 	EXP 	cue: autoDraw = True
22.1343 	EXP 	cue: autoDraw = False
22.1343 	EXP 	target: autoDraw = True
22.6510 	DATA 	Mouse: Left button down, pos=(686,739)
22.6527 	EXP 	New trial (rep=0, index=9): OrderedDict([('cue_file', 'images/arrow_left.png'), ('target_x', -0.5), ('is_valid', 'valid')])
22.6845 	EXP 	fixation: autoDraw = False
22.6845 	EXP 	cue: autoDraw = False
22.6845 	EXP 	target: autoDraw = False
22.6845 	EXP 	cue: image = 'images/arrow_left.png'
22.6845 	EXP 	target: pos = array([-0.5,  0. ])
22.6845 	EXP 	fixation: autoDraw = True
22.7350 	DATA 	Mouse:  Left button up, pos=(685,738)
23.6841 	EXP 	fixation: autoDraw = False
23.6841 	EXP 	cue: autoDraw = True
23.8838 	EXP 	cue: autoDraw = False
23.8838 	EXP 	target: autoDraw = True
24.3510 	DATA 	Mouse: Left button down, pos=(482,765)
24.3525 	EXP 	New trial (rep=1, index=0): OrderedDict([('cue_file', 'images/arrow_right.png'), ('target_x', 0.5), ('is_valid', 'valid')])
24.3857 	EXP 	fixation: autoDraw = False
24.3857 	EXP 	cue: autoDraw = False
24.3857 	EXP 	target: autoDraw = False
24.3857 	EXP 	cue: image = 'images/arrow_right.png'
24.3857 	EXP 	target: pos = array([0.5, 0. ])
24.3857 	EXP 	fixation: autoDraw = True
24.4515 	DATA 	Mouse:  Left button up, pos=(495,767)
25.3841 	EXP 	fixation: autoDraw = False
25.3841 	EXP 	cue: autoDraw = True
25.5840 	EXP 	cue: autoDraw = False
25.5840 	EXP 	target: autoDraw = True
26.0850 	DATA 	Mouse: Left button down, pos=(1974,728)
26.0867 	EXP 	New trial (rep=1, index=1): OrderedDict([('cue_file', 'images/arrow_left.png'), ('target_x', -0.5), ('is_valid', 'valid')])
26.1187 	EXP 	fixation: autoDraw = False
26.1187 	EXP 	cue: autoDraw = False
26.1187 	EXP 	target: autoDraw = False
26.1187 	EXP 	cue: image = 'images/arrow_left.png'
26.1187 	EXP 	target: pos = array([-0.5,  0. ])
26.1187 	EXP 	fixation: autoDraw = True
26.1516 	DATA 	Mouse:  Left button up, pos=(1973,727)
27.1191 	EXP 	fixation: autoDraw = False
27.1191 	EXP 	cue: autoDraw = True
27.3191 	EXP 	cue: autoDraw = False
27.3191 	EXP 	target: autoDraw = True
27.8366 	DATA 	Mouse: Left button down, pos=(671,724)
27.8380 	EXP 	New trial (rep=1, index=2): OrderedDict([('cue_file', 'images/arrow_left.png'), ('target_x', -0.5), ('is_valid', 'valid')])
27.8700 	EXP 	fixation: autoDraw = False
27.8700 	EXP 	cue: autoDraw = False
27.8700 	EXP 	target: autoDraw = False
27.8700 	EXP 	cue: image = 'images/arrow_left.png'
27.8700 	EXP 	target: pos = array([-0.5,  0. ])
27.8700 	EXP 	fixation: autoDraw = True
27.9033 	DATA 	Mouse:  Left button up, pos=(671,724)
28.8693 	EXP 	fixation: autoDraw = False
28.8693 	EXP 	cue: autoDraw = True
29.0693 	EXP 	cue: autoDraw = False
29.0693 	EXP 	target: autoDraw = True
29.5028 	DATA 	Mouse: Left button down, pos=(480,721)
29.5041 	EXP 	New trial (rep=1, index=3): OrderedDict([('cue_file', 'images/arrow_left.png'), ('target_x', 0.5), ('is_valid', 'invalid')])
