17.7500 	EXP 	dots: coherence = 1.0
17.7500 	EXP 	dots: dir = -90.0
17.7500 	EXP 	fixation: autoDraw = True
18.2519 	EXP 	dots: autoDraw = True
18.6121 	DATA 	Keypress: down
18.6365 	EXP 	dots: autoDraw = False
18.6365 	EXP 	fixation: autoDraw = False
18.6365 	EXP 	dots: coherence = 1.0
18.6365 	EXP 	dots: dir = 90.0
18.6365 	EXP 	fixation: autoDraw = True
19.1379 	EXP 	dots: autoDraw = True
19.4731 	DATA 	Keypress: escape
