trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.69118019999587,None,8.69118019999587,None,-0.1625,-0.115,1,0,0,1.678674199996749,target,0.0077198500075610355,None,,001,2021_May_13_1935,visual-search,2021.1.4,59.88278543384249,
1,0,1,0,10.368172999995295,None,10.368172999995295,None,-0.42583333333333334,-0.3308333333333333,1,0,0,1.3527743000013288,target,0.0012451399816200137,None,,001,2021_May_13_1935,visual-search,2021.1.4,59.88278543384249,
2,0,2,0,11.749768599998788,None,11.749768599998788,None,0.3433333333333333,0.4508333333333333,1,0,0,1.22136429999955,target,0.0032396400056313723,None,,001,2021_May_13_1935,visual-search,2021.1.4,59.88278543384249,
3,0,3,0,13.00241209998785,None,13.00241209998785,None,-0.10083333333333333,0.24666666666666667,1,0,0,1.1199873000005027,target,0.0013145399861969054,None,,001,2021_May_13_1935,visual-search,2021.1.4,59.88278543384249,
4,0,4,0,14.153210499993293,None,14.153210499993293,None,-0.1875,-0.13916666666666666,1,0,0,3.2733536000014283,target,0.0020830400026170537,None,,001,2021_May_13_1935,visual-search,2021.1.4,59.88278543384249,
