trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_fillColor,date,frameRate,expName,session,participant,
0,0,0,0,-0.6291666666666667,0.3888888888888889,1,0,0,2.87906599045,bluePill,blue,2018_Aug_21_2209,59.722908069839704,redPIll_bluePill,001,,
1,0,1,0,0.6,0.035555555555555556,1,0,0,0.786651849747,redPill,red,2018_Aug_21_2209,59.722908069839704,redPIll_bluePill,001,,
2,0,2,0,0.6,0.035555555555555556,1,0,0,0.587245941162,redPill,red,2018_Aug_21_2209,59.722908069839704,redPIll_bluePill,001,,
,,,,-0.6763888888888889,0.19555555555555557,1,0,0,0.57081580162,bluePill,blue,,,,,,
