trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_fillColor,date,frameRate,expName,session,participant,
0,0,0,0,-0.5847222222222223,0.03111111111111111,1,0,0,628.376658916,bluePill,blue,2018_Aug_21_2211,60.16116400689637,redPIll_bluePill,001,,
,,,,0.5486111111111112,-0.024444444444444446,1,0,0,0.703042984009,redPill,red,,,,,,
